shapeid	x	y
0	46.97699	7.05948
1	46.97247	7.05294
2	46.95886	7.02019
3	46.95889	7.02676
4	46.95891	7.03333
5	46.95898	7.05304
6	46.959	7.0596
7	46.95434	7.01366
8	46.95437	7.02023
9	46.9545	7.05964
10	46.94984	7.01369
11	46.94987	7.02026
12	46.94989	7.02683
13	46.94994	7.03996
14	46.95003	7.06624
15	46.95005	7.0728
16	46.94539	7.02686
17	46.94542	7.03343
18	46.94551	7.0597
19	46.94553	7.06627
20	46.94555	7.07283
21	46.94077	6.99406
22	46.9408	7.00063
23	46.94087	7.02033
24	46.94101	7.05973
25	46.93628	6.9941
26	46.93649	7.0532
27	46.93012	6.679
28	46.93192	7.03353
29	46.93195	7.0401
30	46.92723	6.98105
31	46.92733	7.00731
32	46.92736	7.01387
33	46.92743	7.03357
34	46.92745	7.04013
35	46.92091	6.64631
36	46.92262	6.95483
37	46.92265	6.96139
38	46.92271	6.97452
39	46.92273	6.98108
40	46.92283	7.00734
41	46.92288	7.02047
42	46.92291	7.02704
43	46.92293	7.0336
44	46.9165	6.6595
45	46.91659	6.67263
46	46.91813	6.95487
47	46.91815	6.96143
48	46.91834	7.00738
49	46.91836	7.01394
50	46.91838	7.02051
51	46.91841	7.02707
52	46.91205	6.66613
53	46.91368	6.96803
54	46.91386	7.01398
55	46.91389	7.02054
56	46.91391	7.0271
57	46.91411	7.08618
58	46.91413	7.09274
59	46.90797	6.73182
60	46.90919	6.96807
61	46.90929	6.99432
62	46.90959	7.07964
63	46.90963	7.09277
64	46.90452	6.92874
65	46.90455	6.9353
66	46.90458	6.94186
67	46.90477	6.9878
68	46.90479	6.99436
69	46.90501	7.05342
70	46.90505	7.06655
71	46.90507	7.07311
72	46.90509	7.07967
73	46.89906	6.74506
74	46.90027	6.98784
75	46.90064	7.09283
76	46.89359	6.60078
77	46.89456	6.74512
78	46.89555	6.93539
79	46.89558	6.94195
80	46.89572	6.97475
81	46.89577	6.98787
82	46.8896	6.67301
83	46.88977	6.69925
84	46.88982	6.70581
85	46.88994	6.72549
86	46.89006	6.74517
87	46.89091	6.90263
88	46.89106	6.93543
89	46.89109	6.94199
90	46.89122	6.97479
91	46.89125	6.98135
92	46.89128	6.98791
93	46.89149	7.04696
94	46.89151	7.05352
95	46.88556	6.74523
96	46.88641	6.90267
97	46.88644	6.90923
98	46.88662	6.94859
99	46.88664	6.95515
100	46.88673	6.97483
101	46.88675	6.98139
102	46.8868	6.99451
103	46.88688	7.01419
104	46.88697	7.04043
105	46.88699	7.04699
106	46.88708	7.07323
107	46.88712	7.08635
108	46.88095	6.72561
109	46.88212	6.94863
110	46.88223	6.97487
111	46.88228	6.98799
112	46.88236	7.00767
113	46.88243	7.02735
114	46.88247	7.04046
115	46.8825	7.04702
116	46.88254	7.06014
117	46.88256	7.0667
118	46.88258	7.07326
119	46.87653	6.73879
120	46.87661	6.75191
121	46.87665	6.75847
122	46.87735	6.88964
123	46.87738	6.8962
124	46.87753	6.929
125	46.87759	6.94211
126	46.87765	6.95523
127	46.87768	6.96179
128	46.8777	6.96835
129	46.87795	7.03394
130	46.87798	7.0405
131	46.87802	7.05362
132	46.87804	7.06017
133	46.87811	7.07985
134	46.87199	6.73229
135	46.87282	6.88313
136	46.87292	6.9028
137	46.87304	6.92904
138	46.87307	6.9356
139	46.87318	6.96183
140	46.87336	7.00774
141	46.87339	7.0143
142	46.87346	7.03397
143	46.87348	7.04053
144	46.8735	7.04709
145	46.87352	7.05365
146	46.87355	7.06021
147	46.86833	6.88318
148	46.86851	6.92252
149	46.86854	6.92908
150	46.86863	6.94875
151	46.86884	7.00122
152	46.86886	7.00777
153	46.86889	7.01433
154	46.86891	7.02089
155	46.86894	7.02745
156	46.86257	6.66684
157	46.86383	6.88322
158	46.86398	6.91601
159	46.86437	7.00781
160	46.86439	7.01437
161	46.86441	7.02093
162	46.85776	6.62101
163	46.85799	6.65379
164	46.85842	6.71935
165	46.85933	6.88327
166	46.85946	6.9095
167	46.85949	6.91605
168	46.85992	7.02096
169	46.85996	7.03407
170	46.86005	7.0603
171	46.85317	6.60797
172	46.85321	6.61452
173	46.85349	6.65386
174	46.85388	6.71286
175	46.85392	6.71941
176	46.85496	6.90954
177	46.85513	6.94888
178	46.85527	6.98166
179	46.85529	6.98821
180	46.85532	6.99477
181	46.85547	7.03411
182	46.85549	7.04066
183	46.85553	7.05378
184	46.85556	7.06033
185	46.85558	7.06689
186	46.84876	6.62115
