V1,V2,V3
0,571150,202950
1,570650,202450
2,568150,200950
3,568650,200950
4,569150,200950
5,570650,200950
6,571150,200950
7,567650,200450
8,568150,200450
9,571150,200450
10,567650,199950
11,568150,199950
12,568650,199950
13,569650,199950
14,571650,199950
15,572150,199950
16,568650,199450
17,569150,199450
18,571150,199450
19,571650,199450
20,572150,199450
21,566150,198950
22,566650,198950
23,568150,198950
24,571150,198950
25,566150,198450
26,570650,198450
27,542150,197950
28,569150,197950
29,569650,197950
30,565150,197450
31,567150,197450
32,567650,197450
33,569150,197450
34,569650,197450
35,539650,196950
36,563150,196950
37,563650,196950
38,564650,196950
39,565150,196950
40,567150,196950
41,568150,196950
42,568650,196950
43,569150,196950
44,540650,196450
45,541650,196450
46,563150,196450
47,563650,196450
48,567150,196450
49,567650,196450
50,568150,196450
51,568650,196450
52,541150,195950
53,564150,195950
54,567650,195950
55,568150,195950
56,568650,195950
57,573150,195950
58,573650,195950
59,546150,195450
60,564150,195450
61,566150,195450
62,572650,195450
63,573650,195450
64,561150,194950
65,561650,194950
66,562150,194950
67,565650,194950
68,566150,194950
69,570650,194950
70,571650,194950
71,572150,194950
72,572650,194950
73,547150,194450
74,565650,194450
75,573650,194450
76,536150,193950
77,547150,193950
78,561650,193950
79,562150,193950
80,564650,193950
81,565650,193950
82,541650,193450
83,543650,193450
84,544150,193450
85,545650,193450
86,547150,193450
87,559150,193450
88,561650,193450
89,562150,193450
90,564650,193450
91,565150,193450
92,565650,193450
93,570150,193450
94,570650,193450
95,547150,192950
96,559150,192950
97,559650,192950
98,562650,192950
99,563150,192950
100,564650,192950
101,565150,192950
102,566150,192950
103,567650,192950
104,569650,192950
105,570150,192950
106,572150,192950
107,573150,192950
108,545650,192450
109,562650,192450
110,564650,192450
111,565650,192450
112,567150,192450
113,568650,192450
114,569650,192450
115,570150,192450
116,571150,192450
117,571650,192450
118,572150,192450
119,546650,191950
120,547650,191950
121,548150,191950
122,558150,191950
123,558650,191950
124,561150,191950
125,562150,191950
126,563150,191950
127,563650,191950
128,564150,191950
129,569150,191950
130,569650,191950
131,570650,191950
132,571150,191950
133,572650,191950
134,546150,191450
135,557650,191450
136,559150,191450
137,561150,191450
138,561650,191450
139,563650,191450
140,567150,191450
141,567650,191450
142,569150,191450
143,569650,191450
144,570150,191450
145,570650,191450
146,571150,191450
147,557650,190950
148,560650,190950
149,561150,190950
150,562650,190950
151,566650,190950
152,567150,190950
153,567650,190950
154,568150,190950
155,568650,190950
156,541150,190450
157,557650,190450
158,560150,190450
159,567150,190450
160,567650,190450
161,568150,190450
162,537650,189950
163,540150,189950
164,545150,189950
165,557650,189950
166,559650,189950
167,560150,189950
168,568150,189950
169,569150,189950
170,571150,189950
171,536650,189450
172,537150,189450
173,540150,189450
174,544650,189450
175,545150,189450
176,559650,189450
177,562650,189450
178,565150,189450
179,565650,189450
180,566150,189450
181,569150,189450
182,569650,189450
183,570650,189450
184,571150,189450
185,571650,189450
186,537650,188950
187,538150,188950
188,538650,188950
189,539150,188950
190,540150,188950
191,541150,188950
192,542650,188950
193,544150,188950
194,544650,188950
195,545150,188950
196,559650,188950
197,565150,188950
198,565650,188950
199,566150,188950
200,566650,188950
201,569650,188950
202,570150,188950
203,571150,188950
204,571650,188950
205,533150,188450
206,538150,188450
207,542650,188450
208,544150,188450
209,559150,188450
210,559650,188450
211,562650,188450
212,565150,188450
213,568150,188450
214,527150,187950
215,534150,187950
216,536150,187950
217,536650,187950
218,538150,187950
219,541150,187950
220,541650,187950
221,542650,187950
222,559150,187950
223,566150,187950
224,566650,187950
225,569150,187950
226,570150,187950
227,536150,187450
228,537150,187450
229,537650,187450
230,540150,187450
231,541150,187450
232,541650,187450
233,542650,187450
234,560150,187450
235,561650,187450
236,563650,187450
237,566650,187450
238,569650,187450
239,526650,186950
240,530650,186950
241,531150,186950
242,531650,186950
243,532150,186950
244,532650,186950
245,537650,186950
246,540150,186950
247,540650,186950
248,542150,186950
249,542650,186950
250,561150,186950
251,561650,186950
252,563150,186950
253,563650,186950
254,564150,186950
255,564650,186950
256,565150,186950
257,566150,186950
258,566650,186950
259,524650,186450
260,525150,186450
261,525650,186450
262,527150,186450
263,527650,186450
264,528150,186450
265,528650,186450
266,529150,186450
267,529650,186450
268,530650,186450
269,531150,186450
270,532150,186450
271,535650,186450
272,537650,186450
273,538150,186450
274,540650,186450
275,561150,186450
276,561650,186450
277,562150,186450
278,562650,186450
279,563150,186450
280,563650,186450
281,564150,186450
282,566650,186450
283,524650,185950
284,525150,185950
285,525650,185950
286,526150,185950
287,527650,185950
288,528150,185950
289,528650,185950
290,529150,185950
291,529650,185950
292,530650,185950
293,534150,185950
294,538150,185950
295,561150,185950
296,561650,185950
297,562150,185950
298,562650,185950
299,563150,185950
300,564150,185950
301,525150,185450
302,525650,185450
303,528150,185450
304,528650,185450
305,530650,185450
306,533150,185450
307,540650,185450
308,560650,185450
309,561150,185450
310,561650,185450
311,562150,185450
312,562650,185450
313,564650,185450
314,565150,185450
315,566150,185450
316,525650,184950
317,528150,184950
318,532150,184950
319,533650,184950
320,536150,184950
321,537150,184950
322,537650,184950
323,538150,184950
324,539150,184950
325,539650,184950
326,540150,184950
327,558650,184950
328,560150,184950
329,561150,184950
330,561650,184950
331,562150,184950
332,562650,184950
333,563650,184950
334,564650,184950
335,565150,184950
336,565650,184950
337,566150,184950
338,526650,184450
339,531650,184450
340,532150,184450
341,532650,184450
342,534650,184450
343,535150,184450
344,537150,184450
345,537650,184450
346,538650,184450
347,539150,184450
348,539650,184450
349,549150,184450
350,549650,184450
351,561150,184450
352,561650,184450
353,563650,184450
354,532650,183950
355,533150,183950
356,538150,183950
357,538650,183950
358,545650,183950
359,546150,183950
360,560650,183950
361,562150,183950
362,563150,183950
363,564650,183950
364,526150,183450
365,533150,183450
366,536650,183450
367,537150,183450
368,537650,183450
369,538150,183450
370,546150,183450
371,546650,183450
372,547150,183450
373,547650,183450
374,549650,183450
375,558650,183450
376,560150,183450
377,562150,183450
378,562650,183450
379,529650,182950
380,536650,182950
381,537150,182950
382,537650,182950
383,538150,182950
384,546650,182950
385,547150,182950
386,547650,182950
387,548150,182950
388,549650,182950
389,551150,182950
390,559150,182950
391,559650,182950
392,560150,182950
393,562150,182950
394,563650,182950
395,564150,182950
