rastid,stop_id,stop_name
0,8504571,La Sauge LNM
1,8581750,"Cudrefin, La Sauge"
1,8504571,La Sauge LNM
2,8570530,"Cudrefin, place de la Tour"
3,8579746,"Cudrefin, camping"
4,8579746,"Cudrefin, camping"
5,8504984,"Lugnorre, place du Pommeré"
6,8504984,"Lugnorre, place du Pommeré"
7,8570530,"Cudrefin, place de la Tour"
8,8570530,"Cudrefin, place de la Tour"
8,8583829,"Cudrefin, Le Moulin"
8,8570529,"Cudrefin, Vers-chez-Jacot"
9,8504984,"Lugnorre, place du Pommeré"
10,8583829,"Cudrefin, Le Moulin"
11,8583829,"Cudrefin, Le Moulin"
11,8570529,"Cudrefin, Vers-chez-Jacot"
12,8570529,"Cudrefin, Vers-chez-Jacot"
12,8570528,"Montet (Vully), village"
13,8583709,"Montet (Vully), La Fenette"
14,8504984,"Lugnorre, place du Pommeré"
15,8504984,"Lugnorre, place du Pommeré"
16,8583709,"Montet (Vully), La Fenette"
16,8570528,"Montet (Vully), village"
17,8583709,"Montet (Vully), La Fenette"
17,8570528,"Montet (Vully), village"
18,8504892,"Mur, village"
19,8504892,"Mur, village"
20,8504984,"Lugnorre, place du Pommeré"
21,8570527,Champmartin
22,8570527,Champmartin
23,8583709,"Montet (Vully), La Fenette"
24,8570511,"Guévaux, croisée"
25,8570527,Champmartin
26,8570511,"Guévaux, croisée"
27,8595200,"Travers, Verger"
28,8570523,"Vallamand-Dessus, pl. village"
29,8570523,"Vallamand-Dessus, pl. village"
29,8583725,"Vallamand-Dessous, Garinettes"
30,8570526,"Chabrey, village"
31,8570525,"Montmagny, croisée"
32,8570525,"Montmagny, croisée"
33,8570522,"Vallamand-Dessous, village"
33,8504575,Vallamand
34,8504575,Vallamand
35,8504285,Couvet
36,8504562,Portalban
37,8504547,"Portalban, village"
38,8570526,"Chabrey, village"
39,8570526,"Chabrey, village"
40,8570525,"Montmagny, croisée"
41,8570524,"Bellerive VD, village"
41,8579745,"Salavaux, Cotterd"
42,8570524,"Bellerive VD, village"
43,8570522,"Vallamand-Dessous, village"
43,8504575,Vallamand
44,8507666,"Provence, Le Couvent"
45,8507666,"Provence, Le Couvent"
46,8504547,"Portalban, village"
47,8504547,"Portalban, village"
48,8570519,"Constantine, collège"
49,8570519,"Constantine, collège"
50,8579745,"Salavaux, Cotterd"
50,8570521,"Salavaux, poste"
51,8570521,"Salavaux, poste"
52,8507666,"Provence, Le Couvent"
53,8577832,"Delley, école"
54,8570519,"Constantine, collège"
55,8580758,"Salavaux, Le Pont"
56,8580758,"Salavaux, Le Pont"
57,8530821,Faoug débarcadère
58,8583452,"Murten, Merlachfeld"
59,8570333,"Montalchez, centre du village"
60,8577831,"Delley, En Roche"
61,8570517,"Villars-le-Grand, village"
62,8530821,Faoug débarcadère
63,8530821,Faoug débarcadère
64,8595536,"Gletterens, lac"
65,8595536,"Gletterens, lac"
66,8595536,"Gletterens, lac"
67,8570517,"Villars-le-Grand, village"
68,8570517,"Villars-le-Grand, village"
69,8583515,"Avenches, plage"
70,8504127,Faoug
71,8504127,Faoug
72,8504127,Faoug
73,8570333,"Montalchez, centre du village"
73,8570332,"Montalchez, La Comballaz"
74,8570517,"Villars-le-Grand, village"
75,8595680,"Courgevaux, village"
76,8570272,"Provence, Vuissens"
77,8570332,"Montalchez, La Comballaz"
77,8570333,"Montalchez, centre du village"
78,8577834,"Gletterens, village"
79,8577834,"Gletterens, village"
80,8577830,"St-Aubin FR, Le-Haut"
81,8504887,"St-Aubin FR, église"
82,8570272,"Provence, Vuissens"
83,8570284,"Mutrux, Le Ravin (Sylvabella)"
84,8570284,"Mutrux, Le Ravin (Sylvabella)"
85,8507955,"Provence, poste"
85,8570286,"Provence, anc. poste"
85,8570287,"Provence, village"
85,8570285,"Provence, La Grangette"
86,8570331,"Fresens, haut du village"
86,8570330,"Fresens, village"
87,8570416,"Chevroux, port"
87,8570415,"Chevroux, village"
88,8577834,"Gletterens, village"
89,8577834,"Gletterens, village"
90,8577830,"St-Aubin FR, Le-Haut"
91,8504887,"St-Aubin FR, église"
92,8577829,"St-Aubin FR, bif."
93,8583520,"Avenches, route du Lac"
94,8583520,"Avenches, route du Lac"
95,8581065,"Fresens, bas du village"
95,8570330,"Fresens, village"
96,8570415,"Chevroux, village"
